Type,X,Y,OBJECTID,Call_Taken,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg,STREET_TYPE,distance,duration,,,,,,,,
TOW,-93.288021,45.013111,1,02/12/2019 09:18pm,"3201-3299 lyndale ave n ,Minneapolis,MN",45.013111,-93.288021,4,Camden,McKinley,1,1,Westminster,MSA,4450.0,438.0,,,,,,,,
TOW,-93.262588,44.94139,2,02/12/2019 09:19pm,"3398 Chicago ave s,Minneapolis,MN",44.94139,-93.262588,9,Powderhorn,Central,5,1,Westminster,MSA,6623.4,631.3,,,,,,,,
TOW,-93.262606,44.943159,3,02/12/2019 09:19pm,"3301 Chicago Avenue South,Minneapolis,MN",44.943159,-93.262606,9,Powderhorn,Central,5,1,Westminster,MSA,6427.0,615.6,,,,,,,,
TOW,-93.288036,45.016708,4,02/12/2019 09:26pm,"3400-3498 lyndale ave n ,Minneapolis,MN",45.016708,-93.288036,4,Camden,McKinley,1,1,Westminster,MSA,4848.8,469.9,,,,,,,,
TOW,-93.288049,45.01849,5,02/12/2019 09:34pm,"3498 Lyndale Ave n,Minneapolis,MN",45.01849,-93.288049,4,Camden,McKinley,1,1,Westminster,RES,5049.3,486.2,,,,,,,,
TOW,-93.277559,44.963797,6,02/12/2019 09:38pm,"1 E 19TH ST,Minneapolis,MN",44.963797,-93.277559,6,Central,Steven's Square - Loring Heights,3,1,Westminster,RES,2909.4,314.1,,,,,,,,
TOW,-93.288036,45.016708,7,02/12/2019 09:40pm,"3400 Lyndale Ave n ,Minneapolis,MN",45.016708,-93.288036,4,Camden,McKinley,1,1,Westminster,MSA,4848.8,469.9,,,,,,,,
TOW,-93.276939,44.964115,8,02/12/2019 09:45pm,"16 EAST / 19TH ST,Minneapolis,MN",44.964115,-93.276939,6,Central,Steven's Square - Loring Heights,3,1,Westminster,RES,2957.9,325.7,,,,,,,,
TOW,-93.276939,44.964115,9,02/12/2019 09:47pm,"16 19th st e,Minneapolis,MN",44.964115,-93.276939,6,Central,Steven's Square - Loring Heights,3,1,Westminster,RES,2957.9,325.7,,,,,,,,
TOW,-93.262901,44.939686,10,02/12/2019 10:04pm,"3458 Chicago Ave,Minneapolis,MN",44.939686,-93.262901,9,Powderhorn,Central,5,1,Westminster,MSA,6852.6,649.4,,,,,,,,
TOW,-93.235311,44.987678,11,02/12/2019 10:08pm,"1116 Como Ave se,Minneapolis,MN",44.987678,-93.235311,2,University,Como,4,1,Westminster,MSA,5520.0,627.8,,,,,,,,
TOW,-93.279701,44.948359,12,02/12/2019 10:10pm,"3000 Blaisdell ,Minneapolis,MN",44.948359,-93.279701,10,Powderhorn,Whittier,3,1,Westminster,CSAH,4508.9,447.2,,,,,,,,
